task_name,best_train_reward,best_train_nmse,best_train_expr,best_beam_reward,best_beam_nmse,best_beam_expr
feynman_I_34_27,-0.3574877858161926,0.3074877858161926,(log(x0) * log(x1)),-1.01,1.0,x0
feynman_I_34_8,-0.5172391378879547,0.3772391378879547,(((1.0 + x0) * (x0 / (cos(sin(x0)) + log(x3)))) + x1),-1.01,1.0,x1
feynman_I_37_4,-0.5739478945732117,0.5239478945732117,(x1 * exp(cos(x2))),-0.9374290800094605,0.9274290800094604,x1
feynman_I_38_12,-0.3650861656665802,0.3050861656665802,((cos(x2) + x2) / x1),-1.01,1.0,x2
feynman_I_39_1,-0.1793701496720314,0.1093701496720314,((x1 + (x0 / x0)) * x0),-1.01,1.0,x0
feynman_I_39_11,-0.5181517970561982,0.4481517970561981,(log(x1) * (log(x1) * x2)),-0.6415703678131104,0.6015703678131104,(log(x1) * x2)
feynman_I_39_22,-0.4458869171142578,0.3758869171142578,(x3 / (x2 / (x3 * x1))),-1.01,1.0,x3
feynman_I_40_1,-0.5660186290740967,0.5160186290740967,((x3 / x1) / x2),-1.01,1.0,x2
feynman_I_41_16,-0.5224542593955994,0.46245425939559937,(x0 / (x4 - sin(x4))),-0.8185774374008179,0.7885774374008179,(x0 / x4)
feynman_I_43_16,-0.6104197478294373,0.5504197478294373,((x0 * x1) + log(x2)),-1.01,1.0,x1
feynman_I_43_31,-0.6878322029113769,0.597832202911377,((x2 + x1) + (x2 * (x2 + x0))),-1.01,1.0,x1
feynman_I_43_43,-0.6688770937919617,0.6388770937919617,(x3 / x2),-1.01,1.0,x1
feynman_I_44_4,-0.20151155412197114,0.13151155412197113,((x1 * x2) * (x4 - x3)),-0.9590011525154114,0.9290011525154114,(x4 * x4)
feynman_I_47_23,-0.7690297031402588,0.6790297031402588,((1.0 + (x0 - cos(x1))) / exp(1.0)),-1.01,1.0,1.0
feynman_I_48_2,-1.0,1.0,INVALID_EXPRESSION,-1.01,1.0,x1
feynman_I_50_26,-0.5916342115402222,0.5316342115402222,((log(x2) * x3) * x0),-0.8737878894805908,0.8637878894805908,x2
feynman_I_6_2,-1.0,1.0,INVALID_EXPRESSION,-1.01,1.0,x0
feynman_I_6_2a,-1.0,1.0,INVALID_EXPRESSION,-1.01,1.0,1.0
feynman_I_6_2b,-1.0,1.0,INVALID_EXPRESSION,-1.01,1.0,x2
feynman_I_8_14,-1.0,1.0,INVALID_EXPRESSION,-1.01,1.0,x0
feynman_I_9_18,-1.0,1.0,INVALID_EXPRESSION,-1.01,1.0,x4
feynman_II_10_9,-0.7158588242530823,0.6458588242530823,(sin(exp(log(log(x0)))) / x2),-1.01,1.0,x2
feynman_II_11_20,-0.6840352892875672,0.6340352892875671,((x1 / x3) * x1),-0.7992674994468689,0.7692674994468689,(x1 + x1)
feynman_II_11_27,-0.15310101181268693,0.08310101181268692,((x0 * x3) * (x1 + x1)),-0.524241396188736,0.48424139618873596,(exp(x0) * x1)
feynman_II_11_28,-0.5710157763957977,0.35101577639579773,exp(sin(((((x0 * (x0 * (x1 - sin((x1 - (sin(x1) / sin(x1))))))) + x0) * x1) * x1))),-1.01,1.0,1.0
