task_name,best_train_reward,best_train_nmse,best_train_expr,best_beam_reward,best_beam_nmse,best_beam_expr
feynman_I_30_3,-0.8685519981384278,0.8385519981384277,(x0 - 0.5),,,
feynman_I_30_5,-0.5635251569747924,0.4835251569747925,(exp((1.0 - 1.0)) / (3.0 * x2)),,,
feynman_I_32_17,-0.8292050838470459,0.7792050838470459,((x4 * x3) * x4),,,
feynman_I_32_5,-0.946215991973877,0.816215991973877,(((((exp(2.0) / x3) + x1) - 3.0) + 3.0) / exp(pi)),,,
feynman_I_34_1,-0.30297533512115477,0.2629753351211548,(x2 + log(x2)),,,
feynman_I_34_14,-0.1876946771144867,0.1476946771144867,(x2 / log(2.0)),,,
feynman_I_34_27,-0.07000000000047933,4.793308219959436e-13,((x0 * (0.5 * x1)) / pi),,,
feynman_I_34_8,-0.5546053111553192,0.4546053111553192,(((x1 * x0) * log((3.0 * 0.5))) * x2),,,
feynman_I_37_4,-0.9374290800094605,0.9274290800094604,x1,,,
feynman_I_38_12,-0.4079156994819641,0.3579156994819641,(x3 / (x1 * x1)),,,
feynman_I_39_1,-0.9784410881996155,0.9484410881996155,(3.0 * x1),,,
feynman_I_39_11,-0.35759709298610687,0.23759709298610687,((((x1 + (sin(x0) + x2)) - x0) - 1.0) + x2),,,
feynman_I_39_22,-0.5655231952667237,0.5155231952667236,((x0 * x3) + x1),,,
feynman_I_40_1,-0.8565114426612854,0.8265114426612854,(1.0 / x2),,,
feynman_I_41_16,-0.7692182421684265,0.6692182421684265,(log(x3) * (log((x3 * x0)) * log(x0))),,,
feynman_I_43_16,-0.5729043364524842,0.5229043364524841,((x0 * x1) + x2),,,
feynman_I_43_31,-1.0,1.0,const,,,
feynman_I_43_43,-0.5824167108535767,0.5224167108535767,((x1 / cos(0.5)) / x2),,,
feynman_I_44_4,-0.7120633149147033,0.5220633149147034,((((((x4 + (x4 - x3)) - (x3 - x4)) - x3) - x3) - (x3 - x4)) + x4),,,
feynman_I_47_23,-0.5402744793891907,0.5002744793891907,log((x1 + x0)),,,
feynman_I_48_2,-1.01,1.0,1.0,,,
feynman_I_50_26,-0.6069850897789002,0.5469850897789001,(log(x2) * (x0 * x1)),,,
feynman_I_6_2,-1.0,1.0,(sin(3.0) * const),,,
feynman_I_6_2a,-0.30245136737823486,0.18245136737823486,(sin(log(((exp(3.0) - (3.0 - 3.0)) + x0))) / 0.5),,,
feynman_I_6_2b,-1.0,1.0,sin(const),,,
feynman_I_8_14,-0.9836095547676087,0.9236095547676086,((pi + cos(x0)) - 1.0),,,
feynman_I_9_18,-0.9283225917816162,0.8883225917816162,(sin(x4) / x3),,,
feynman_II_10_9,-0.6664636421203614,0.6364636421203613,(1.0 / x1),,,
feynman_II_11_20,-0.6202286648750305,0.5402286648750305,((log((x1 * 0.5)) * x1) * x0),,,
feynman_II_11_27,-0.13541119515895844,0.06541119515895844,(((x0 * x2) * x3) * x1),,,
feynman_II_11_28,-0.6080339336395264,0.5680339336395264,exp((x0 * 0.5)),,,
feynman_II_11_3,-0.8164804649353028,0.7464804649353027,(log(log((x1 * pi))) / x3),,,
feynman_II_13_17,-1.0,1.0,const,,,
feynman_II_13_23,-0.04697893023490906,0.03697893023490906,x0,,,
feynman_II_13_34,-0.07412977397441864,0.04412977397441864,(x0 * x1),,,
feynman_II_15_4,-0.807794508934021,0.747794508934021,(x0 + (x1 * log(x2))),,,
feynman_II_15_5,-0.7603617286682129,0.7003617286682129,(x2 - log(log(cos(x2)))),,,
feynman_II_21_32,-0.9516754722595215,0.8916754722595215,(sin(0.5) / (x2 + x4)),,,
feynman_II_24_17,-0.4908803391456604,0.4608803391456604,(x0 - x1),,,
feynman_II_27_16,-1.0,1.0,const,,,
feynman_II_27_18,-0.2683846724033356,0.19838467240333557,((x1 + x1) * (x1 + x0)),,,
feynman_II_2_42,-0.6471527099609375,0.5971527099609375,(x2 - (x1 + x1)),,,
feynman_II_34_11,-0.529320513010025,0.399320513010025,((log(x1) * (log(x0) * (log(x2) * x0))) + log(x0)),,,
feynman_II_34_2,-0.3886295139789581,0.33862951397895813,((x0 * x2) + x1),,,
feynman_II_34_29a,-0.7469640851020813,0.6969640851020813,sin((log(2.0) / x2)),,,
feynman_II_34_29b,-1.0,1.0,exp(const),,,
feynman_II_34_2a,-0.8154264378547669,0.7854264378547668,(1.0 / x2),,,
feynman_II_35_18,-0.840758113861084,0.810758113861084,(1.0 / x3),,,
feynman_II_35_21,-0.23527927994728087,0.18527927994728088,((x0 * x1) - x0),,,
feynman_II_36_38,-0.901965389251709,0.891965389251709,x1,,,
feynman_II_37_1,-1.0,1.0,log(const),,,
feynman_II_38_14,-0.2909189182519913,0.21091891825199127,((x0 / exp((1.0 * 1.0))) / x1),,,
feynman_II_38_3,-0.6292391085624695,0.5392391085624695,(x1 * (x0 / ((1.0 / x3) / 0.5))),,,
feynman_II_3_24,-1.0,1.0,cos(const),,,
feynman_II_4_23,-1.0,1.0,(x2 - const),,,
feynman_II_6_11,-1.0,1.0,sin((pi * (x2 * const))),,,
feynman_II_6_15a,-0.7289477872848511,0.6989477872848511,(0.5 / x2),,,
feynman_II_6_15b,-1.0,1.0,cos((sin(const) / 0.5)),,,
feynman_II_8_31,-0.6081787633895874,0.5781787633895874,(x1 * x1),,,
feynman_II_8_7,-1.0,1.0,const,,,
feynman_III_10_19,-0.432397768497467,0.32239776849746704,((x2 + (x2 + 0.5)) + ((x0 * 3.0) + x0)),,,
feynman_III_12_43,-0.175614615380764,0.11561461538076401,(x1 / (pi - log(x0))),,,
feynman_III_13_18,-1.01,1.0,x3,,,
feynman_III_14_14,-0.6889785885810852,0.5889785885810852,((x0 + sin((2.0 + pi))) * (x0 / x3)),,,
feynman_III_15_12,-0.8320773625373841,0.792077362537384,(x0 * exp(0.5)),,,
feynman_III_15_14,-1.0,1.0,(cos((const - x1)) / const),,,
feynman_III_15_27,-0.6621333241462708,0.6121333241462708,(cos(log(x2)) + x0),,,
feynman_III_17_37,-0.6654264307022095,0.6054264307022095,((x1 * cos(x2)) - 2.0),,,
feynman_III_19_51,-0.981523461341858,0.9115234613418579,(log(log(pi)) - cos(log(x3))),,,
feynman_III_21_20,-0.5877899503707886,0.5277899503707886,((cos(3.0) - x1) * x2),,,
feynman_III_4_32,-0.7175011706352235,0.6475011706352234,((x2 / (x0 / 3.0)) * 3.0),,,
feynman_III_4_33,-0.1879689049720764,0.06796890497207642,((x3 * x2) + ((0.5 * 2.0) + (3.0 * cos(3.0)))),,,
feynman_III_7_38,-1.0,1.0,const,,,
feynman_III_8_54,-1.0,1.0,cos(exp(const)),,,
feynman_III_9_52,-1.0,1.0,const,,,
feynman_test_1,-0.9163455629348755,0.8263455629348755,(((x1 * (x3 / x5)) * pi) * x1),,,
feynman_test_2,-0.8722324442863465,0.8022324442863464,(log(x0) + log((x1 / x2))),,,
feynman_test_3,-0.8733680701255798,0.7633680701255798,(((x1 / cos(exp(log(0.5)))) / sin(x2)) / 1.0),,,
feynman_test_4,-0.36623586058616636,0.3262358605861664,(pi + cos(x0)),,,
feynman_test_5,-0.21327838361263274,0.10327838361263275,((x0 + 1.0) * (1.0 + ((0.5 + x0) / x1))),,,
feynman_test_6,-0.9408520340919495,0.8908520340919495,((x5 + 0.5) / x5),,,
feynman_test_7,-0.24067321717739104,0.19067321717739105,((x0 + x2) + x1),,,
feynman_test_8,-0.5861365580558777,0.5461365580558777,log((x0 * x1)),,,
feynman_test_9,-1.01,1.0,x1,,,
feynman_test_10,-0.12872787863016127,0.07872787863016129,(x2 + (0.5 / x2)),,,
feynman_test_11,-0.8708454155921936,0.8308454155921936,(x0 * sin(1.0)),,,
feynman_test_12,-0.6156980752944946,0.5156980752944946,(((2.0 + pi) - x1) * (x2 + log(x0))),,,
feynman_test_13,-1.0,1.0,(sin(cos(log(const))) - exp(log((x0 / (sin(3.0) / const))))),,,
feynman_test_14,-0.4796585214138031,0.4096585214138031,((x3 / (x1 / x3)) / x2),,,
feynman_test_15,-0.20268065690994264,0.19268065690994263,x2,,,
feynman_test_16,-1.0,1.0,cos((const / (x0 / x2))),,,
feynman_test_17,-1.01,1.0,2.0,,,
feynman_test_18,-0.7970675110816956,0.7470675110816956,((0.5 * x3) * 0.5),,,
feynman_test_19,-0.5558276653289795,0.5058276653289795,((x4 * x3) - 3.0),,,
feynman_test_20,-0.8466451454162598,0.8166451454162598,(x2 / x5),,,
